combination_woo_id,combination_parent_woo_id,combination_sku,combination_name,combination_current_price,combination_price_missing,component_sku,component_quantity,component_item_id,component_woo_id,component_target_key,combination_component_count,component_combination_count,relationship_type,possible_duplicate_component_woo_id,edge_rule,edge_confidence,propagation_status
3742,3624,0201002|0201002|0724003,"Con 2 tatamis de 90x200 cm, 140x200x14,5 cm",505.48,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3743,3624,0201002|0201002|0724004,"Con 2 tatamis de 90x200 cm, 150x200x14,5 cm",548.58,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3744,3624,0201002|0201002|0724005,"Con 2 tatamis de 90x200 cm, 160x200x14,5 cm",570.26,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3745,3624,0201002|0201002|0724006,"Con 2 tatamis de 90x200 cm, 180x200x14,5 cm",576.96,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3726,3623,0201002|0201002|0728001,"90x200x14,5 cm, Con 2 tatamis de 90x200 cm",521.70,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3722,3623,0201002|0201002|0728002,"140x200x14,5 cm, Con 2 tatamis de 90x200 cm",592.22,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3723,3623,0201002|0201002|0728003,"150x200x14,5 cm, Con 2 tatamis de 90x200 cm",603.58,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3724,3623,0201002|0201002|0728004,"160x200x14,5 cm, Con 2 tatamis de 90x200 cm",680.14,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3725,3623,0201002|0201002|0728005,"180x200x14,5 cm, Con 2 tatamis de 90x200 cm",736.22,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3707,3622,0201002|0201002|0730001,"90x200x14,5 cm, Con 2 tatamis de 90x200 cm",583.70,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3703,3622,0201002|0201002|0730002,"140x200x14,5 cm, Con 2 tatamis de 90x200 cm",711.30,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3704,3622,0201002|0201002|0730003,"150x200x14,5 cm, Con 2 tatamis de 90x200 cm",723.94,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3705,3622,0201002|0201002|0730004,"160x200x14,5 cm, Con 2 tatamis de 90x200 cm",735.46,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3706,3622,0201002|0201002|0730005,"180x200x14,5 cm, Con 2 tatamis de 90x200 cm",745.38,NO,0201002,2,201002,,201002,2,19,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3734,3624,0201003|0201003|0724001,"Con 2 tatamis de 70x200 cm, 90x200x14,5 cm",437.70,NO,0201003,2,201003,,201003,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
3733,3624,0201003|0201003|0724003,"Con 2 tatamis de 70x200 cm, 140x200x14,5 cm",505.48,NO,0201003,2,201003,,201003,2,6,MANY_TO_MANY,NO,UNCHANGED_EXACT_EVIDENCE,HIGH,READ_ONLY_NOT_IMPLEMENTED
